,Stn,lat,lon,tmpAbs,temp,pcpAbs,precip,tmpAns
100 MILE HOUSE 6NE,100 MILE HOUSE 6NE,51.681000000000004,-121.21700000000001,20.1,,0.0858,,68.18
108 MILE HOUSE ABEL LAKE,108 MILE HOUSE ABEL LAKE,51.623000000000005,-121.26299999999999,15.9,,1.5795,,60.62
ABBOTSFORD A,ABBOTSFORD A,49.025,-122.36,19.1,,0.312,,66.38
ADDENBROKE ISLAND,ADDENBROKE ISLAND,51.604,-127.86399999999999,15.8,1.0799999999999998,1.7082,31.7,60.440000000000005
AGASSIZ CDA,AGASSIZ CDA,49.243,-121.76,19.3,1.26,0.8462999999999999,37.0,66.74000000000001
AGASSIZ RCS,AGASSIZ RCS,49.243,-121.76,19.5,1.26,0.7215,,67.1
ASHCROFT,ASHCROFT,50.708,-121.281,21.7,,1.7784,,71.06
ATLIN,ATLIN,59.567,-133.7,13.8,2.52,1.8018,135.0,56.84
BALLENAS ISLAND,BALLENAS ISLAND,49.35,-124.16,19.3,,0.039,,66.74000000000001
BELLA BELLA,BELLA BELLA,52.185,-128.157,16.3,,0.975,,61.34
BELLA COOLA AIRPORT,BELLA COOLA AIRPORT,52.388999999999996,-126.587,18.6,,0.5031,,65.48
BILLINGS,BILLINGS,49.016999999999996,-118.228,21.1,1.26,0.195,22.0,69.98
BLUE RIVER A,BLUE RIVER A,52.129,-119.29,15.9,-0.18,3.8531999999999997,120.0,60.62
BLUE RIVER CS,BLUE RIVER CS,52.129,-119.29,15.9,,3.4671000000000003,,60.62
BOAT BLUFF,BOAT BLUFF,52.643,-128.524,16.6,2.7,1.7394,19.0,61.88
BONILLA ISLAND,BONILLA ISLAND,53.493,-130.638,14.2,0.36,1.2558,29.0,57.56
BONILLA ISLAND (AUT),BONILLA ISLAND (AUT),53.493,-130.639,13.6,,0.663,,56.48
BURNABY SIMON FRASER U,BURNABY SIMON FRASER U,49.278,-122.91799999999999,19.4,3.96,0.1872,,66.92
BURNS LAKE DECKER LAKE,BURNS LAKE DECKER LAKE,54.383,-125.959,13.7,,0.12869999999999998,,56.66
BURWASH A,BURWASH A,61.371,-139.04,11.2,0.539999999999998,1.3766999999999998,84.5,52.16
