,lat,lon,precip,temp
0,55.22083,-162.7325,74.0,2.9
1,55.31944,-160.52083,,
2,60.785,-161.8293,67.0,5.5
3,66.86667,-162.63333,24.0,6.8
4,59.05,-158.51669,,
5,64.32667,-158.74167,75.0,4.9
6,58.6829,-156.6563,99.0,4.5
7,59.7494,-154.90891,65.0,4.7
8,62.9574,-155.61031,77.0,4.6
9,71.2834,-156.78149,54.0,3.0
10,58.1913,-152.37219,59.0,4.2
11,57.75111,-152.48557,44.0,4.5
12,57.8426,-152.4585,52.0,
13,60.81417,-152.29694,,
14,59.555,-154.49834,,
15,60.2036,-154.3163,,5.8
16,62.0911,-152.73489,69.0,5.6
17,61.98722,-152.07584,,
18,65.175,-152.1067,80.0,2.6
19,69.36944,-152.14,,
20,59.43556,-151.4136,,
21,59.642,-151.4908,97.0,2.2
22,59.7444,-151.6347,77.0,5.0
23,60.36667,-151.38333,,
24,60.3925,-149.66611,,
25,60.5029,-149.4261,,
26,60.4875,-149.96809,,
27,60.5797,-151.23911,60.0,2.6
28,60.8983,-149.6286,,
29,60.9583,-149.11079,,
30,61.1,-149.6936,,
31,61.169,-150.0278,29.0,6.4
32,61.21694,-149.855,34.0,4.4
33,61.25306,-149.79361,,
34,61.53333,-149.08333,,
35,61.53333,-149.43333,,
36,61.5632,-149.15421,,
37,61.5663,-149.2541,19.0,3.9
38,61.5888,-149.0992,,
39,61.6244,-149.33971,,
40,61.7066,-149.9977,,
41,61.41694,-150.08194,,
42,61.9772,-151.2169,,
43,62.32,-150.095,56.0,3.4
44,62.82556,-149.90611,,2.0
45,63.42583,-150.31168,,
46,64.54611,-149.09612,176.0,4.0
47,64.55,-149.07167,,
48,64.9988,-150.638,,
49,66.9169,-151.5154,63.0,2.5
50,67.4096,-150.1111,41.0,2.3
51,60.77639,-148.68584,,
52,60.785,-148.83888,21.0,2.3
53,61.0183,-147.51469,,
54,61.7138,-148.9088,,
55,61.81667,-147.55,,
56,60.0502,-148.0672,34.0,1.9
57,61.1303,-146.3517,,
58,62.0302,-146.69299,,
59,63.8674,-148.99429,,
60,64.49417,-146.97667,,
61,64.66667,-147.10001,,
62,63.7175,-148.96918,74.0,3.3
63,64.7581,-147.3253,190.0,1.8
64,64.8039,-147.8761,169.0,3.3
65,64.88667,-147.24944,,
66,64.8569,-147.86099,160.0,2.2
67,64.8603,-147.8484,157.0,2.1
68,64.925,-147.88028,,
69,64.9766,-147.5211,,1.8
70,51.88334,-176.64999,,
71,57.15528,-170.22221,100.0,2.9
72,53.895,-166.5433,44.0,3.0
73,65.62389,-168.09917,,
74,64.5111,-165.44,53.0,4.5
75,65.4939,-144.6422,129.0,0.9
76,65.5667,-144.7653,,
77,70.13389,-143.57693,,
78,62.3977,-142.9966,,
79,62.9617,-141.93781,59.0,1.7
80,63.3337,-143.0372,,
81,64.0917,-141.9211,54.0,-0.3
82,59.51194,-139.67111,15.0,2.1
83,64.05,-139.1333,,
84,64.05,-139.1333,,
85,57.0481,-135.3647,30.0,2.1
86,57.9577,-136.2213,31.0,1.0
87,58.1071,-135.4277,25.0,-0.3
88,58.1916,-136.34351,3.0,2.2
89,58.4561,-135.8692,,
90,58.4111,-135.70889,27.0,-1.9
91,59.4547,-135.3136,24.0,
92,59.4556,-135.3239,22.0,2.1
93,59.24333,-135.50945,0.0,2.2
94,59.45,-136.3667,,
95,60.7667,-137.5833,,
96,55.49083,-132.62222,,
97,55.47722,-133.14084,36.0,-0.9
98,56.2472,-134.6447,,
99,54.25,-133.05,,
100,56.383,-134.6497,25.0,0.5
101,58.1421,-133.73849,30.0,
102,58.3183,-134.1003,,2.2
103,58.3566,-134.564,26.0,-0.1
104,58.3814,-134.645,36.0,0.3
105,58.25,-134.89999,,
106,56.4732,-132.38741,,
107,58.2988,-134.4111,,1.6
108,56.8055,-132.93719,32.0,-0.9
109,59.5667,-133.7,,
110,51.9333,-131.01669,,
111,55.03889,-131.57861,38.0,1.1
112,55.38,-131.46831,,
113,55.91528,-130.02695,33.0,
114,55.35667,-131.71167,36.0,1.4
115,55.33333,-131.66667,,
116,55.33333,-131.56667,,
117,53.5,-130.6333,,
118,54.5667,-130.7,,
119,49.6,-126.6167,,
120,51.6,-127.8667,,
121,52.65,-128.51669,,
122,52.1833,-128.1167,,
123,51.25,-127.8333,,
124,52.2667,-128.39999,,
125,52.2667,-128.71671,,
126,53.5667,-127.95,,
127,54.05,-128.6333,,
128,54.0167,-128.7,,
129,54.5,-128.6167,,
130,54.4,-126.6667,,
131,54.8167,-127.1833,,
132,54.8333,-127.1833,,
133,65.2833,-126.8,,
134,49.95,-125.2667,,
135,50.0,-125.2,,
136,50.0167,-125.3,,
137,49.3833,-126.55,,
138,49.3833,-126.55,,
139,48.7167,-125.1,,
140,49.0833,-125.7667,,
141,67.5111,-148.49249,,
142,60.4888,-145.4511,27.0,2.2
143,60.5561,-145.75301,,3.7
144,61.651,-145.1702,,
145,61.8,-144.98334,,
146,62.1086,-145.5331,14.0,2.9
147,62.1591,-145.4588,6.0,2.7
148,62.53333,-145.51666,,
149,63.9944,-145.72141,27.0,1.5
150,64.05,-145.51666,,
151,63.9647,-145.105,99.0,2.0
152,63.03222,-145.49834,,
153,62.7089,-143.9808,,
