,lat,lon,tmpAbs,temp,pcpAbs,precip
0,48.935,-123.742,59.18,,5.8461,
1,48.82899999999999,-124.052,57.02,-2.3400000000000003,5.4639,
2,48.425,-123.226,,,,
3,48.431999999999995,-123.439,56.84,,1.4508,
4,48.985,-123.573,58.82,,3.5334,
5,48.575,-123.53,57.92,,2.3868,
6,48.373999999999995,-123.561,,,1.5678,
7,48.824,-123.71799999999999,,,4.095,290.0
8,48.824,-123.719,58.28,,3.1707,
9,48.763999999999996,-123.287,59.9,,2.8002,
10,48.298,-123.531,55.76,,,
11,48.598,-123.427,,,1.4118000000000002,
12,48.775,-123.12799999999999,53.96,,4.1808000000000005,
13,48.784,-123.045,58.459999999999994,,2.496,
14,48.647,-123.626,57.92,-0.9,2.9445,227.0
15,48.457,-123.305,57.379999999999995,,1.0686,
16,48.413000000000004,-123.325,57.74,,1.0764,
17,48.647,-123.426,57.56,,2.4648000000000003,
18,49.35,-124.16,58.1,,3.8142,
19,49.952,-125.273,55.4,-1.44,8.0574,374.0
20,49.998000000000005,-125.195,57.379999999999995,-0.18,8.619,377.0
21,49.472,-124.68299999999999,56.84,,6.4037999999999995,
22,49.717,-124.9,57.56,-0.5399999999999999,5.4015,
23,50.071000000000005,-124.949,57.56,,9.6174,
24,49.763000000000005,-124.999,54.14,,2.067,
25,49.68600000000001,-125.03299999999999,57.02,,5.1909,
26,49.208999999999996,-123.811,58.1,,2.5428,
27,50.45399999999999,-125.993,54.68,,5.179200000000001,
28,50.099,-125.20299999999999,56.48,,13.8528,
29,49.353,-124.512,54.68,-1.0799999999999998,4.407,
30,49.053999999999995,-123.87,57.74,,4.5786,
31,49.199,-123.988,,,5.0661000000000005,351.0
32,50.681000000000004,-127.367,53.42,,7.6674,
33,49.336999999999996,-124.39399999999999,57.2,,3.1473,
34,50.016000000000005,-125.304,56.48,-1.0799999999999998,8.8842,
35,49.208999999999996,-123.809,58.1,,3.7752,
36,48.786,-125.21600000000001,56.120000000000005,0.18,10.6392,274.0
37,49.383,-126.54299999999999,56.66,0.5399999999999999,11.0916,
38,49.383,-126.54299999999999,55.94,,10.218,
39,49.111000000000004,-125.92299999999999,51.98,,11.637599999999999,237.0
40,48.858999999999995,-124.655,57.56,-0.5399999999999999,14.5353,
41,49.6,-126.617,61.88,3.4199999999999995,1.404,
42,48.723,-125.09700000000001,53.96,-1.44,9.9528,
43,49.317,-124.927,57.379999999999995,,8.9544,
44,50.821000000000005,-128.908,54.86,,6.3882,
45,50.111999999999995,-127.94,55.22,,6.2712,
46,49.931999999999995,-126.654,58.82,,9.009,
47,49.082,-125.773,55.94,-0.36,12.519,242.0
48,48.945,-125.527,55.94,-0.72,10.545599999999999,
49,50.053000000000004,-126.779,57.74,,7.5075,
50,49.36,-123.402,,,7.0902,
51,49.386,-123.541,58.1,-1.26,6.084,269.0
52,49.468,-123.913,59.540000000000006,0.18,5.4015,284.0
53,49.488,-123.29899999999999,59.36,,5.2884,
54,49.63399999999999,-124.03200000000001,,,6.162,
55,49.526,-123.49600000000001,58.1,,14.960400000000002,
56,49.833999999999996,-124.5,55.76,-1.6199999999999999,8.4591,397.0
57,49.835,-124.49700000000001,56.120000000000005,,7.480200000000001,
58,49.458,-123.715,56.84,,4.6059,
59,49.783,-123.161,57.379999999999995,,10.374,
60,50.129,-122.955,52.52,-2.3400000000000003,6.591,308.0
61,51.93600000000001,-131.016,56.66,,2.769,
62,53.316,-132.77200000000002,56.84,,4.329,
63,54.255,-133.058,54.32,0.18,3.042,41.0
64,54.159,-131.661,56.66,,2.2698,
65,53.248999999999995,-131.813,56.48,,3.822,
66,53.254,-131.814,56.66,,3.4281,
67,51.604,-127.86399999999999,55.94,0.5399999999999999,9.1494,103.0
68,52.185,-128.157,51.98,,1.4664000000000001,
69,52.388999999999996,-126.587,54.5,,2.9445,
70,52.643,-128.524,56.3,1.26,12.8232,90.0
71,53.493,-130.638,55.76,0.9,5.9904,93.0
72,53.493,-130.639,55.04,,4.1028,
73,52.187,-127.471,56.120000000000005,,1.6691999999999998,
74,53.03,-131.602,56.48,,3.5568,
75,52.185,-128.112,57.379999999999995,1.0799999999999998,6.2712,77.0
76,51.247,-127.835,53.96,0.18,8.424,
77,54.568999999999996,-130.708,54.5,0.18,3.7674,39.0
78,54.58,-130.69799999999998,54.86,,2.7846,
79,54.172,-130.361,54.14,,4.446,
80,52.27,-128.407,56.66,0.9,7.2774,87.0
81,53.563,-127.943,53.42,-1.44,3.705,
82,54.053999999999995,-128.634,54.14,-0.5399999999999999,2.691,
83,54.01,-128.705,54.68,-0.9,3.4125,
84,54.29600000000001,-130.609,54.5,,,
85,52.262,-128.719,57.56,1.98,6.201,75.0
86,54.286,-130.445,53.24,,5.5224,
87,54.501999999999995,-128.625,54.86,0.18,1.2324000000000002,
88,54.468999999999994,-128.578,53.42,,0.9438,
89,54.295,-130.88,55.4,,3.2058,
90,54.396,-126.66799999999999,47.120000000000005,,1.1934,
91,54.825,-127.18299999999999,46.22,,0.5928,
92,54.825,-127.18299999999999,48.2,-1.6199999999999999,0.9126,44.0
93,54.824,-127.189,47.84,,1.0491,
94,55.288999999999994,-127.171,45.68,-3.6,2.2776,72.0
95,53.772,-125.99700000000001,45.68,,2.145,
96,50.302,-122.738,56.66,,,
97,50.306000000000004,-122.734,56.84,,3.4436999999999998,
98,52.114,-124.13600000000001,45.86,,2.7144,
99,51.675,-124.40299999999999,47.3,,2.9093999999999998,
100,54.383,-125.959,43.7,,1.5639,
101,54.455,-124.286,48.02,-2.1599999999999997,0.5226000000000001,
102,54.455,-124.286,46.76,,1.5756,
103,52.531000000000006,-122.286,46.04,,1.4781,
104,53.88399999999999,-122.678,45.5,,1.3143,
105,53.888999999999996,-122.67200000000001,46.04,,1.3884,
106,53.9,-122.791,49.46,,1.4781,
107,53.88,-122.76799999999999,48.56,-3.6,1.1934,
108,53.026,-122.51,46.22,,1.2050999999999998,
109,53.027,-122.506,47.66,,1.248,
110,52.184,-121.686,42.44,-4.86,3.9623999999999997,220.0
111,52.183,-122.054,46.94,,2.6559,
112,54.033,-124.01700000000001,48.02,-3.96,1.0062,58.0
113,51.623000000000005,-121.26299999999999,48.74,,1.1817,
114,49.025,-122.36,59.18,,5.970899999999999,
115,49.243,-121.76,59.72,-1.6199999999999999,5.2611,
116,49.243,-121.76,60.08,-0.36,5.4366,
117,50.129,-122.955,53.06,,3.2526,
118,49.278,-122.91799999999999,57.2,-1.0799999999999998,6.212700000000001,
119,50.144,-123.111,50.54,,8.0067,
120,49.108999999999995,-122.698,60.08,,7.1916,
121,49.07899999999999,-121.979,59.0,,5.6004,
122,49.126000000000005,-123.00200000000001,57.02,,4.3173,
123,49.011,-123.09299999999999,55.94,-3.6,4.5474,293.0
124,49.145,-122.551,59.36,,6.7236,
125,49.263999999999996,-122.573,57.74,-1.0799999999999998,10.6548,
126,49.153,-122.271,59.18,-0.9,6.864,198.0
127,49.381,-123.07799999999999,49.64,-2.88,11.2905,
128,49.315,-123.115,,,6.3609,
129,49.208,-122.69,59.36,,8.3733,
130,49.33,-123.265,58.64,,6.0294,
131,49.178999999999995,-123.087,,,4.8671999999999995,
132,49.278999999999996,-122.881,58.28,-0.72,9.2235,271.0
133,49.17100000000001,-123.09299999999999,59.18,0.18,5.042700000000001,227.0
134,49.106,-123.303,58.459999999999994,,,
135,49.113,-122.11,59.0,,5.5224,
136,49.183,-123.18700000000001,58.459999999999994,,3.7167,
137,49.195,-123.184,58.28,,4.329,
138,49.295,-123.12200000000001,59.36,,5.370299999999999,
139,49.347,-123.193,58.82,,8.7477,
140,50.068000000000005,-122.947,41.54,,2.5271999999999997,
141,49.018,-122.78399999999999,58.82,,4.6254,
142,49.368,-121.49799999999999,60.26,,4.5942,
143,49.37,-121.493,59.540000000000006,,5.4951,
144,49.266999999999996,-121.23299999999999,51.98,-1.26,3.1902,133.0
145,50.684,-121.934,58.459999999999994,,,
146,50.224,-121.58200000000001,60.62,,0.9477,
147,50.224,-121.58200000000001,60.08,,1.17,
148,49.673,-120.333,50.72,,2.1645,
149,49.957,-119.37799999999999,56.120000000000005,,1.0491,
150,49.941,-119.4,57.2,,1.3455,
151,50.113,-120.77799999999999,53.24,,0.0,
152,50.056000000000004,-119.445,58.64,-1.0799999999999998,2.2113,180.0
153,49.178999999999995,-119.545,60.980000000000004,-0.72,0.1989,
154,49.028,-119.441,60.62,-2.52,0.2223,
155,49.783,-119.71700000000001,58.82,-1.6199999999999999,2.262,247.0
156,49.463,-119.602,57.379999999999995,,1.0452000000000001,
157,49.468,-120.51299999999999,52.879999999999995,-2.88,1.4625,158.0
158,50.223,-119.194,55.94,,2.2308,
159,50.343999999999994,-119.271,59.18,-0.36,0.8345999999999999,
160,50.358999999999995,-119.056,44.06,,2.7807,
161,49.465,-120.51,53.06,,1.2558,
162,49.563,-119.649,57.379999999999995,-3.4199999999999995,1.5678,
163,49.016999999999996,-118.228,59.0,-1.44,1.0686,
164,49.29600000000001,-117.633,57.56,-0.9,2.34,141.0
165,49.343,-117.774,57.92,-0.5399999999999999,2.1411,
166,50.239,-116.97200000000001,53.42,-0.5399999999999999,3.2916000000000003,159.0
167,49.913000000000004,-116.921,60.26,4.14,1.2635999999999998,
168,50.269,-117.81700000000001,53.96,,3.7323,
169,49.586000000000006,-117.206,57.2,,2.5116,
170,49.996,-117.37,55.58,-1.44,3.2213999999999996,150.0
171,49.49100000000001,-117.305,57.74,,2.6169,
172,49.111999999999995,-117.73899999999999,57.92,,1.6263,
173,49.082,-116.501,57.92,,1.1778,
174,49.512,-117.399,55.94,,2.2386,
175,49.611999999999995,-115.78200000000001,52.52,,1.521,
176,49.618,-115.789,52.16,,1.2129,
177,49.489,-115.073,51.8,-0.5399999999999999,3.1941,108.0
178,49.523999999999994,-115.461,48.2,,1.6224,
179,49.632,-115.962,51.98,-2.7,0.546,
180,50.631,-116.061,51.26,-2.3400000000000003,1.3572,
181,49.745,-114.883,49.46,-1.44,1.5716999999999999,85.0
182,49.745,-114.884,49.1,,1.365,
183,50.708,-121.281,58.459999999999994,,1.4976,
184,52.129,-119.29,48.56,-3.2399999999999998,5.3118,191.0
185,52.129,-119.29,48.2,,2.8431,
186,51.653,-120.08200000000001,52.7,,,
187,51.266000000000005,-121.685,44.42,,2.1528,
188,51.144,-121.505,46.94,,3.2643,
189,51.03,-120.728,45.14,-3.7800000000000002,2.6832,
190,50.703,-120.449,56.84,,1.9695,
191,50.702,-120.44200000000001,56.66,,1.7316,
192,50.935,-120.8,48.02,-3.2399999999999998,3.2603999999999997,215.0
193,50.545,-119.35,54.14,-2.1599999999999997,3.4164,257.0
194,51.576,-119.77799999999999,51.98,-1.6199999999999999,2.1606,
195,50.63,-120.17200000000001,51.26,,2.5038,
196,50.703,-119.291,55.4,-2.52,3.0225,
197,51.299,-116.98200000000001,49.28,-3.4199999999999995,3.2213999999999996,217.0
198,51.3,-116.984,48.92,,2.6052,
199,52.053000000000004,-118.585,48.56,-3.96,4.212,160.0
200,50.967,-118.18299999999999,53.6,,6.8328,
201,50.958,-118.176,53.96,,4.8243,
202,51.443000000000005,-116.345,43.34,,2.0006999999999997,
203,51.356,-116.337,36.5,,5.655,
204,55.687,-121.62700000000001,42.620000000000005,-7.2,1.6536,103.0
205,55.742,-120.18299999999999,41.9,,1.5366,
206,56.238,-120.74,41.0,,2.3673,
207,55.299,-123.133,42.44,,0.9009,
208,55.305,-123.13799999999999,43.879999999999995,,1.1778,
209,58.422,-130.031,40.82,,1.3104,
210,58.836000000000006,-122.59700000000001,40.82,,0.6825,
211,58.841,-122.574,41.9,,0.3549,
212,58.426,-130.025,41.18,,1.9656,
213,59.567,-133.7,45.14,-1.44,1.2167999999999999,74.0
214,59.45,-136.36700000000002,49.28,1.6199999999999999,0.46799999999999997,8.0
0,61.371,-139.04,40.46,,0.7137,
1,61.367,-139.017,40.46,,0.8034,
2,62.115,-136.192,42.260000000000005,,0.5109,
3,62.208,-133.376,40.1,,,
4,60.773,-137.58,43.16,,0.5109,
5,69.568,-138.91299999999998,32.54,,1.6575,
6,69.164,-140.15,33.98,,2.6832,
7,63.244,-130.037,30.74,,0.25739999999999996,
8,68.801,-140.84799999999998,29.66,,,
9,63.61600000000001,-135.868,40.82,,0.4134,
10,67.571,-139.839,35.42,,1.1465999999999998,
11,66.98100000000001,-136.218,32.18,,2.1684,
12,64.061,-139.127,41.18,,0.2847,
13,60.167,-132.733,41.54,,0.5031,
14,60.11600000000001,-128.832,39.56,,0.5655,
15,60.708999999999996,-135.067,43.519999999999996,,,
16,60.733000000000004,-135.09799999999998,42.620000000000005,,0.9672000000000001,
